varCode,varLabel,nutrient,unit
quint_agwealth,Quintile of agr. wealth index,,index
nonagwealth,Non-agr. wealth index,,index
quint_nonagwealth,Quintile of non-agr. wealth index,,index
ca1,district,,categorical
ca2,epa,,categorical
ca3,section,,categorical
ca4,village,,categorical
purch_val,Amount paid (MWK) to purchase food,,MWK
tot_kcal_cons,kcal from tot consumption,,kcal
purch_kcal_cons,kcal from purch consumption,,kcal
own_kcal_cons,kcal from own consumption,,kcal
gift_kcal_cons,kcal from gift consumption,,kcal
tot_prot_cons,prot from tot consumption,protein,
purch_prot_cons,prot from purch consumption,protein,
own_prot_cons,prot from own consumption,protein,
gift_prot_cons,prot from gift consumption,protein,
tot_animal_prot_cons,animal_prot from tot consumption,animal protein,
purch_animal_prot_cons,animal_prot from purch consumption,animal protein,
own_animal_prot_cons,animal_prot from own consumption,animal protein,
gift_animal_prot_cons,animal_prot from gift consumption,animal protein,
tot_mfp_prot_cons,mfp_prot from tot consumption,,
purch_mfp_prot_cons,mfp_prot from purch consumption,,
own_mfp_prot_cons,mfp_prot from own consumption,,
gift_mfp_prot_cons,mfp_prot from gift consumption,,
tot_fat_cons,fat from tot consumption,fats,
purch_fat_cons,fat from purch consumption,fats,
own_fat_cons,fat from own consumption,fats,
gift_fat_cons,fat from gift consumption,fats,
tot_chocdf_cons,chocdf from tot consumption,,
purch_chocdf_cons,chocdf from purch consumption,,
own_chocdf_cons,chocdf from own consumption,,
gift_chocdf_cons,chocdf from gift consumption,,
tot_fasat_cons,fasat from tot consumption,saturated fats,
purch_fasat_cons,fasat from purch consumption,saturated fats,
own_fasat_cons,fasat from own consumption,saturated fats,
gift_fasat_cons,fasat from gift consumption,saturated fats,
tot_fams_cons,fams from tot consumption,monounsaturated fats,
purch_fams_cons,fams from purch consumption,monounsaturated fats,
own_fams_cons,fams from own consumption,monounsaturated fats,
gift_fams_cons,fams from gift consumption,monounsaturated fats,
tot_fapu_cons,fapu from tot consumption,polyunsaturated fats,
purch_fapu_cons,fapu from purch consumption,polyunsaturated fats,
own_fapu_cons,fapu from own consumption,polyunsaturated fats,
gift_fapu_cons,fapu from gift consumption,polyunsaturated fats,
tot_chole_cons,chole from tot consumption,choline,
purch_chole_cons,chole from purch consumption,choline,
own_chole_cons,chole from own consumption,choline,
gift_chole_cons,chole from gift consumption,choline,
tot_fib_cons,fib from tot consumption,fibers,
purch_fib_cons,fib from purch consumption,fibers,
own_fib_cons,fib from own consumption,fibers,
gift_fib_cons,fib from gift consumption,fibers,
tot_sucs_cons,sucs from tot consumption,,
purch_sucs_cons,sucs from purch consumption,,
own_sucs_cons,sucs from own consumption,,
gift_sucs_cons,sucs from gift consumption,,
tot_phytac_cons,phytac from tot consumption,phytic acid,
purch_phytac_cons,phytac from purch consumption,phytic acid,
